[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.010001s ]
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010001s ]
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:44:49+08:00 ] /wd/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
