[ 2016-09-13T20:58:26+08:00 ] /wd/admin.php/Login/checkVerify | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:26+08:00 ] /wd/admin.php/Login/checkVerify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:26+08:00 ] /wd/admin.php/Login/checkVerify | INFO: Tag[ app_begin ] --START--
[ 2016-09-13T20:58:26+08:00 ] /wd/admin.php/Login/checkVerify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:26+08:00 ] /wd/admin.php/Login/checkVerify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Tag[ app_begin ] --START--
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Tag[ view_template ] --START--
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Tag[ view_parse ] --START--
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Tag[ view_filter ] --START--
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.015600s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015600s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Tag[ view_end ] --START--
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php/Index/copy | INFO: Tag[ route_check ] --START--
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php/Index/copy | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php/Index/copy | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php/Index/copy | INFO: Tag[ app_begin ] --START--
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php/Index/copy | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:27+08:00 ] /wd/admin.php/Index/copy | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Tag[ route_check ] --START--
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Tag[ app_begin ] --START--
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Tag[ view_template ] --START--
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Run LocationTemplate Behavior [ RunTime:0.015600s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.015600s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Tag[ view_parse ] --START--
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Tag[ view_filter ] --START--
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Tag[ view_end ] --START--
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:37+08:00 ] /wd/admin.php/System/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:40+08:00 ] /wd/admin.php/Category/index | INFO: Tag[ route_check ] --START--
[ 2016-09-13T20:58:40+08:00 ] /wd/admin.php/Category/index | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:40+08:00 ] /wd/admin.php/Category/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:40+08:00 ] /wd/admin.php/Category/index | INFO: Tag[ app_begin ] --START--
[ 2016-09-13T20:58:40+08:00 ] /wd/admin.php/Category/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:40+08:00 ] /wd/admin.php/Category/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.000000s ]
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | SQL: SELECT * FROM `hd_category`  [ RunTime:0.000000s ]
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Tag[ view_template ] --START--
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Tag[ view_parse ] --START--
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Run ParseTemplate Behavior [ RunTime:0.015600s ]
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015600s ]
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Tag[ view_filter ] --START--
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Tag[ view_end ] --START--
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:41+08:00 ] /wd/admin.php/Category/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T21:45:01+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ route_check ] --START--
[ 2016-09-13T21:45:01+08:00 ] /wd/admin.php/Login/ | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-09-13T21:45:01+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-09-13T21:45:01+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ app_begin ] --START--
