[ 2016-09-17T09:17:35+08:00 ] /wd/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:1.100002s ]
[ 2016-09-17T09:17:35+08:00 ] /wd/index.php | INFO: Tag[ view_filter ] --START--
[ 2016-09-17T09:17:35+08:00 ] /wd/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-09-17T09:17:35+08:00 ] /wd/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-09-17T09:17:35+08:00 ] /wd/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.010000s ]
[ 2016-09-17T09:17:35+08:00 ] /wd/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-09-17T09:17:35+08:00 ] /wd/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010000s ]
[ 2016-09-17T09:17:35+08:00 ] /wd/index.php | INFO: Tag[ view_end ] --START--
[ 2016-09-17T09:17:35+08:00 ] /wd/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.010000s ]
[ 2016-09-17T09:17:35+08:00 ] /wd/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.010000s ]
[ 2016-09-17T09:17:35+08:00 ] /wd/index.php/Common/verify | ERR: (ThinkException) 非法操作verify
[ 2016-09-17T09:21:21+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2016-09-17T09:21:21+08:00 ] /wd/index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-09-17T09:21:21+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2016-09-17T09:21:21+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2016-09-17T09:21:21+08:00 ] /wd/index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-17T09:21:21+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-09-17T09:21:23+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2016-09-17T09:21:23+08:00 ] /wd/index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-09-17T09:21:23+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2016-09-17T09:21:23+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2016-09-17T09:21:23+08:00 ] /wd/index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
