[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '31' )  [ RunTime:0.000000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '25' )  [ RunTime:0.000000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '44' )  [ RunTime:0.001000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Tag[ view_template ] --START--
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Tag[ view_parse ] --START--
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 16 and defined TagLib.class.php 第 111 行.
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 33 and defined TagLib.class.php 第 111 行.
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.007001s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | SQL: SELECT `id`,`username`,`face`,`answer`,`adopt`,`ask`,`point`,`exp` FROM `hd_user` WHERE ( `id` = '6' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | NOTIC: [2] Division by zero f9c22b8b40e560036663a0ce7ed378ae.php 第 218 行.
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.033002s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033002s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Tag[ view_filter ] --START--
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Tag[ view_end ] --START--
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.007000s ]
[ 2016-10-04T17:43:12+08:00 ] /wd/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.007000s ]
[ 2016-10-04T17:43:14+08:00 ] /wd/index.php/List/index/id/33 | INFO: Tag[ route_check ] --START--
[ 2016-10-04T17:43:14+08:00 ] /wd/index.php/List/index/id/33 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-10-04T17:43:14+08:00 ] /wd/index.php/List/index/id/33 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-10-04T17:43:14+08:00 ] /wd/index.php/List/index/id/33 | INFO: Tag[ app_begin ] --START--
[ 2016-10-04T17:43:14+08:00 ] /wd/index.php/List/index/id/33 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
